iter	Passed	Remaining
419	2259	3120
420	2264	3114
421	2269	3108
422	2274	3102
423	2279	3097
424	2284	3091
425	2289	3085
426	2295	3080
427	2300	3074
428	2305	3068
429	2310	3063
430	2315	3057
431	2321	3051
432	2326	3046
433	2331	3040
434	2336	3035
435	2341	3029
436	2346	3023
437	2351	3017
438	2356	3011
439	2361	3005
440	2366	2999
441	2371	2994
442	2376	2988
443	2381	2982
444	2386	2976
445	2391	2971
446	2396	2965
447	2402	2959
448	2407	2954
449	2412	2948
450	2417	2942
451	2422	2936
452	2427	2930
453	2432	2924
454	2437	2919
455	2442	2913
456	2447	2907
457	2452	2901
458	2457	2896
459	2461	2890
460	2466	2884
461	2472	2878
462	2477	2873
463	2482	2867
464	2487	2861
465	2492	2856
466	2497	2850
467	2502	2845
468	2507	2839
469	2512	2833
470	2517	2827
471	2522	2821
472	2527	2816
473	2532	2810
474	2537	2804
475	2542	2798
476	2547	2793
477	2552	2787
478	2557	2781
479	2562	2776
480	2567	2770
481	2572	2764
482	2577	2759
483	2582	2753
484	2587	2747
485	2592	2742
486	2597	2736
487	2602	2730
488	2607	2725
489	2612	2719
490	2617	2713
491	2622	2708
492	2627	2702
493	2632	2696
494	2637	2691
495	2642	2685
496	2647	2679
497	2652	2673
498	2657	2668
499	2662	2662
500	2667	2656
501	2672	2651
502	2677	2645
503	2682	2640
504	2687	2634
505	2692	2629
506	2697	2623
507	2702	2617
508	2707	2612
509	2713	2606
510	2718	2601
511	2723	2595
512	2728	2590
513	2733	2584
514	2738	2579
515	2743	2573
516	2748	2568
517	2753	2562
518	2758	2556
519	2763	2550
520	2768	2545
521	2773	2539
522	2778	2534
523	2783	2528
524	2788	2523
525	2793	2517
526	2798	2512
527	2804	2506
528	2809	2501
529	2813	2495
530	2818	2489
531	2823	2484
532	2828	2478
533	2833	2472
534	2838	2467
535	2843	2461
536	2848	2456
537	2853	2450
538	2858	2445
539	2864	2439
540	2869	2434
541	2874	2428
542	2879	2423
543	2884	2417
544	2889	2411
545	2893	2406
546	2899	2400
547	2904	2395
548	2909	2390
549	2914	2384
550	2919	2379
551	2924	2373
552	2929	2368
553	2934	2362
554	2939	2356
555	2944	2351
556	2949	2345
557	2954	2340
558	2959	2334
559	2964	2329
560	2969	2323
561	2974	2317
562	2978	2312
563	2983	2306
564	2989	2301
565	2993	2295
566	2998	2289
567	3003	2284
568	3008	2279
569	3013	2273
570	3018	2267
571	3023	2262
572	3028	2256
573	3033	2251
574	3038	2245
575	3043	2240
576	3048	2234
577	3053	2229
578	3057	2223
579	3062	2217
580	3067	2212
581	3072	2206
582	3077	2201
583	3082	2195
584	3086	2189
585	3091	2184
586	3096	2178
587	3101	2173
588	3107	2168
589	3112	2162
590	3117	2157
591	3122	2152
592	3127	2146
593	3132	2141
594	3138	2135
595	3142	2130
596	3147	2124
597	3152	2119
598	3158	2114
599	3162	2108
600	3167	2103
601	3172	2097
602	3178	2092
603	3183	2086
604	3187	2081
605	3192	2075
606	3197	2070
607	3202	2064
608	3207	2059
609	3213	2054
610	3218	2048
611	3223	2043
612	3228	2038
613	3233	2033
614	3239	2027
615	3244	2022
616	3249	2017
617	3254	2011
618	3260	2006
619	3264	2001
620	3270	1995
621	3275	1990
622	3280	1985
623	3285	1979
624	3290	1974
625	3295	1968
626	3300	1963
627	3305	1958
628	3310	1952
629	3315	1947
630	3320	1941
631	3325	1936
632	3330	1930
633	3335	1925
634	3340	1919
635	3345	1914
636	3350	1909
637	3355	1903
638	3360	1898
639	3365	1892
640	3370	1887
641	3375	1882
642	3380	1876
643	3385	1871
644	3390	1866
645	3395	1860
646	3400	1855
647	3405	1849
648	3410	1844
649	3415	1839
650	3421	1833
651	3426	1828
652	3430	1823
653	3436	1817
654	3440	1812
655	3446	1807
656	3450	1801
657	3455	1796
658	3460	1790
659	3465	1785
660	3470	1780
661	3475	1774
662	3480	1769
663	3485	1763
664	3490	1758
665	3495	1753
666	3501	1747
667	3505	1742
668	3510	1737
669	3515	1731
670	3520	1726
671	3526	1721
672	3531	1715
673	3536	1710
674	3541	1705
675	3546	1699
676	3551	1694
677	3556	1689
678	3562	1683
679	3567	1678
680	3572	1673
681	3576	1667
682	3581	1662
683	3586	1657
684	3591	1651
685	3596	1646
686	3601	1641
687	3606	1635
688	3611	1630
689	3616	1624
690	3621	1619
691	3627	1614
692	3632	1609
693	3637	1603
694	3642	1598
695	3647	1593
696	3652	1587
697	3657	1582
698	3662	1577
699	3667	1571
700	3672	1566
701	3677	1561
702	3682	1555
703	3687	1550
704	3691	1544
705	3697	1539
706	3702	1534
707	3707	1529
708	3712	1523
709	3717	1518
710	3722	1513
711	3728	1508
712	3733	1502
713	3738	1497
714	3743	1492
715	3748	1486
716	3753	1481
717	3758	1476
718	3763	1470
719	3768	1465
720	3774	1460
721	3778	1455
722	3783	1449
723	3789	1444
724	3794	1439
725	3799	1433
726	3804	1428
727	3809	1423
728	3814	1417
729	3819	1412
730	3824	1407
731	3829	1401
732	3834	1396
733	3839	1391
734	3844	1386
735	3849	1380
736	3854	1375
737	3859	1370
738	3864	1364
739	3869	1359
740	3874	1354
741	3879	1348
742	3884	1343
743	3889	1338
744	3894	1333
745	3900	1327
746	3904	1322
747	3910	1317
748	3914	1311
749	3920	1306
750	3925	1301
751	3930	1296
752	3935	1290
753	3940	1285
754	3945	1280
755	3950	1275
756	3955	1269
757	3960	1264
758	3965	1259
759	3970	1253
760	3975	1248
761	3980	1243
762	3985	1237
763	3990	1232
764	3995	1227
765	4000	1221
766	4004	1216
767	4009	1211
768	4014	1206
769	4019	1200
770	4024	1195
771	4029	1190
772	4034	1184
773	4040	1179
774	4045	1174
775	4050	1169
776	4055	1163
777	4060	1158
778	4065	1153
779	4070	1148
780	4075	1142
781	4080	1137
782	4085	1132
783	4090	1126
784	4095	1121
785	4100	1116
786	4105	1111
787	4110	1105
788	4115	1100
789	4120	1095
790	4125	1090
791	4130	1084
792	4135	1079
793	4141	1074
794	4146	1069
795	4151	1063
796	4156	1058
797	4160	1053
798	4166	1048
799	4171	1042
800	4175	1037
801	4180	1032
802	4185	1026
803	4190	1021
804	4195	1016
805	4200	1011
806	4206	1005
807	4211	1000
808	4216	995
809	4221	990
810	4226	984
811	4231	979
812	4236	974
813	4241	969
814	4246	964
815	4251	958
816	4256	953
817	4262	948
818	4267	943
819	4272	937
820	4276	932
821	4281	927
822	4286	921
823	4291	916
824	4297	911
825	4302	906
826	4307	901
827	4312	895
828	4317	890
829	4322	885
830	4327	880
831	4332	874
832	4337	869
833	4342	864
834	4347	859
835	4352	853
836	4357	848
837	4362	843
838	4367	838
839	4372	832
840	4377	827
841	4382	822
842	4387	817
843	4392	811
844	4397	806
845	4402	801
846	4407	796
847	4412	790
848	4417	785
849	4421	780
850	4426	775
851	4432	769
852	4436	764
853	4441	759
854	4446	754
855	4452	748
856	4457	743
857	4462	738
858	4466	733
859	4471	727
860	4476	722
861	4481	717
862	4486	712
863	4491	707
864	4496	701
865	4501	696
866	4506	691
867	4511	686
868	4516	680
869	4521	675
870	4526	670
871	4531	665
872	4536	659
873	4541	654
874	4546	649
875	4551	644
876	4556	639
877	4561	633
878	4566	628
879	4571	623
880	4576	618
881	4581	612
882	4587	607
883	4591	602
884	4596	597
885	4602	592
886	4607	586
887	4612	581
888	4617	576
889	4622	571
890	4627	566
891	4632	560
892	4637	555
893	4642	550
894	4647	545
895	4652	540
896	4657	534
897	4662	529
898	4667	524
899	4672	519
900	4677	513
901	4682	508
902	4687	503
903	4693	498
904	4698	493
905	4703	487
906	4708	482
907	4713	477
908	4718	472
909	4723	467
910	4728	461
911	4733	456
912	4738	451
913	4743	446
914	4748	441
915	4753	435
916	4758	430
917	4763	425
918	4768	420
919	4773	415
920	4778	409
921	4783	404
922	4788	399
923	4793	394
924	4798	389
925	4803	383
926	4808	378
927	4813	373
928	4818	368
929	4824	363
930	4829	357
931	4834	352
932	4839	347
933	4844	342
934	4849	337
935	4854	331
936	4859	326
937	4864	321
938	4869	316
939	4874	311
940	4880	305
941	4885	300
942	4890	295
943	4895	290
944	4899	285
945	4904	279
946	4910	274
947	4915	269
948	4920	264
949	4925	259
950	4930	254
951	4935	248
952	4940	243
953	4945	238
954	4950	233
955	4955	228
956	4960	222
957	4965	217
958	4970	212
959	4974	207
960	4979	202
961	4984	196
962	4989	191
963	4994	186
964	4999	181
965	5004	176
966	5009	170
967	5014	165
968	5019	160
969	5023	155
970	5028	150
971	5033	144
972	5038	139
973	5043	134
974	5048	129
975	5053	124
976	5058	119
977	5063	113
978	5068	108
979	5073	103
980	5078	98
981	5083	93
982	5088	88
983	5093	82
984	5098	77
985	5103	72
986	5108	67
987	5113	62
988	5118	56
989	5123	51
990	5128	46
991	5133	41
992	5141	36
993	5146	31
994	5151	25
995	5156	20
996	5160	15
997	5165	10
998	5170	5
999	5175	0
